title,url,description,keywords,duration,view_count,datePublished,genre,,,,,,
Narendra Modi Interview running from truth?,https://www.youtube.com/embed/IV0dEhrRI1o, ,"gujrath, india, narender, modi, narendra modi, Development, communal, roits, justice, people, Interview, murders, killing, killings, cry, hindustan, reality,...",PT7M1S,9231,4/18/13,People & Blogs,,,,,,
Narendra Modi Speech to IAS Officers | Latest India National News 2015,https://www.youtube.com/embed/MS7foUO81A4,"Narendra Modi 2015 Full Speech http://bit.do/National-News-India | Subscribe | News in Hindi, News 2015, Narendra Modi, News Live, Latest News, News Today, I...","Indian Administrative Service (Profession), India (Country), IAS, Narendra modi 2015, bjp, Bharatiya janata party 2015, News in Hindi, News 2015, Narendra Mo...",PT65M37S,74557,4/23/15,News & Politics,,,,,,
Seedhi Baat with Narendra Modi on Aaj Tak 1/2,https://www.youtube.com/embed/3PHEOzNOlzU,CM Shri Narendra Modi's Interview on Seedhi Baat with Aaj Tak on 21st September 2008,"Aaj, Bat, Chawala, Interview, Modi, Prabhu, Sidhi, Tak, US, Visa",PT9M25S,611692,9/23/08,News & Politics,,,,,,
Narendra Modi is the Ghost of Godhra Karan Thapar Slapped Modi On His Face,https://www.youtube.com/embed/Hbe_u1LUWtQ,this is called bhagoda...,,PT7M1S,8199,1/9/15,Entertainment,,,,,,
VERY VERY ANGRY ! ! ! Narendra Modi's TIGHT SLAP ! ! ! on ABP NEWS Face,https://www.youtube.com/embed/MphSK_fwTyY,Description,"Narendra Modi (Politician), Politics (TV Genre), 2002 Gujarat Riots (Event), ABP News (TV Program Creator), Arvind Kejriwal (Politician)",PT2M35S,717386,1/10/15,People & Blogs,,,,,,
Shri Narendra Modi's interview with Samaya News,https://www.youtube.com/embed/4dtodnQgruw,Shri Narendra Modi's interview with Samaya News,"Narendra Modi, Gujarat, India, Chief Minister, CM, Namo, Gujarat Government, PM, PM Candidate, Development, Vikas, Brand India, Prime Minster, BJP, NDA, NaMo...",PT69M50S,22350,5/3/14,News & Politics,,,,,,
CM Shri Narendra Modi's Interview with NDTV - 2/3,https://www.youtube.com/embed/CORdesTlJtA,CM Shri Narendra Modi's Interview with NDTV on 9th October 2008,"Narendra, Modi, Interview, Nanavati, Commission, communism, Afzal, Nano, NDTV, Vijay, Trivedi, UPA, votebank",PT8M36S,29135,10/10/08,News & Politics,,,,,,
Narendra Modi Interview with Shahid Siddiqui on 2002 Gujrat riots Full Interview,https://www.youtube.com/embed/m7UlaLcBcZM,Narendra Modi gives all answer to the questions on gujrat riots 2002,"Gujarat (Indian State), Interview, India, narendramodi, 2002 Gujarat Violence (Event), Shahid Siddiqui (Politician), Bharatiya Janata Party (Organization), F...",PT24M16S,4808,2/7/14,News & Politics,,,,,,
Narendra modi exposed barkha dutt rajdeep sardesai - must must watch,https://www.youtube.com/embed/kdxmz5vGcss,Share It! Please Subscribe Us at - https://www.youtube.com/channel/UCiQgAyuhJkeFGWd8tTfI_HA,"Play, India, Game, Burn, 2002 Gujarat Riots (Event), Burning, Flame, Narendra Modi (Politician), Rajdeep Sardesai (Award Winner), Barkha Dutt (Award Winner),...",PT2M38S,193154,10/5/14,News & Politics,,,,,,
Narendra Modi's interview with India TV,https://www.youtube.com/embed/zcCJyxmHPiY,Chief Minister of Gujarat Shri Narendra Modi's interview with India TV during his Sadbhavna Mission fast at University Convention Hall in Ahmedabad on 17th S...,"Chief, Minister, of, Gujarat, Shri, Narendra, Modi's, interview, with, India, TV, during, his, Sadbhavna, Mission, fast, at, University, Convention, Hall, in...",PT12M59S,6522,9/18/11,News & Politics,,,,,,
