type_p,title,thumbnail,video
video,narendra modi interview in cnn,https://i.ytimg.com/vi/fQKFsA8Aulo/mqdefault.jpg,https://www.youtube.com/watch?v=fQKFsA8Aulo
video,Narendra modi's Interview on Reuters,https://i.ytimg.com/vi/nfXNxmNiJJU/mqdefault.jpg,https://www.youtube.com/watch?v=nfXNxmNiJJU
video,Narendra modi's Interview on Reuters.com (Full Speech as India's next PM  Reuters com),https://i.ytimg.com/vi/bAKIit2_bTk/mqdefault.jpg,https://www.youtube.com/watch?v=bAKIit2_bTk
video,"Narendra Modi interview with Anil kapoor style, must watch",https://i.ytimg.com/vi/E24ze6OqO-A/mqdefault.jpg,https://www.youtube.com/watch?v=E24ze6OqO-A
video,NEWS9: Narendra Modi's interview 2,https://i.ytimg.com/vi/9Y0rwgRWyGc/mqdefault.jpg,https://www.youtube.com/watch?v=9Y0rwgRWyGc
video,Mr. Narendra Modi's interview on Gujarat riots,https://i.ytimg.com/vi/9vFNYm8gKvw/mqdefault.jpg,https://www.youtube.com/watch?v=9vFNYm8gKvw
video,narendra modi interview by ved,https://i.ytimg.com/vi/LFvzPa5SlcY/mqdefault.jpg,https://www.youtube.com/watch?v=LFvzPa5SlcY
video,Narendra Modi interview with ETV just before election results,https://i.ytimg.com/vi/Fn154JO8AMQ/mqdefault.jpg,https://www.youtube.com/watch?v=Fn154JO8AMQ
video,"Narendra Modi's interview with Doordarshan, Never said Priyanka Vadra daughter",https://i.ytimg.com/vi/y1Yh8_VMNag/mqdefault.jpg,https://www.youtube.com/watch?v=y1Yh8_VMNag
type_p,title,thumbnail,video
video,Narendra Modi's interview with Zee News,https://i.ytimg.com/vi/kKsPcYyKqWY/mqdefault.jpg,https://www.youtube.com/watch?v=kKsPcYyKqWY
video,NEWS9: Narendra Modi's interview 6,https://i.ytimg.com/vi/25z3jAh-LlI/mqdefault.jpg,https://www.youtube.com/watch?v=25z3jAh-LlI
video,Mayawati reacts to Narendra Modi interview,https://i.ytimg.com/vi/HCshHRwq20c/mqdefault.jpg,https://www.youtube.com/watch?v=HCshHRwq20c
video,NEWS9: Narendra Modi's interview 3,https://i.ytimg.com/vi/xiplGcK1qGw/mqdefault.jpg,https://www.youtube.com/watch?v=xiplGcK1qGw
video,Zee24Taas | Narendra Modi interview by ANI/ 16th April,https://i.ytimg.com/vi/r-GKNieZC7U/mqdefault.jpg,https://www.youtube.com/watch?v=r-GKNieZC7U
video,"Narendra Modi's INTERVIEW on the question of GODHRA RIOT, SONIA GANDHI and CONGRESS",https://i.ytimg.com/vi/7t5u59vvMvA/mqdefault.jpg,https://www.youtube.com/watch?v=7t5u59vvMvA
video,Narendra Modi Speech | Hindustan Times Leadership Summit Archives,https://i.ytimg.com/vi/FFP5E9cvCT4/mqdefault.jpg,https://www.youtube.com/watch?v=FFP5E9cvCT4
video,Narendra Modi Interview by Rajeev Sukla,https://i.ytimg.com/vi/m3pjR25ZrU0/mqdefault.jpg,https://www.youtube.com/watch?v=m3pjR25ZrU0
video,"Narendra Modi Interview July 13, 2008- Part 2",https://i.ytimg.com/vi/em4QGMqEU4Q/mqdefault.jpg,https://www.youtube.com/watch?v=em4QGMqEU4Q
